Rank,Deal ID,Deal Name,GBV
1,23000987947,"Dunton Destinations",32758750.0
2,47172970863,"Sanders Beach Rentals - New Deal",28853250.0
3,29800818814,"NIHI Sumba",26608500.0
4,38531359833,"Aitutaki Lagoon Private Island Resort",22885500.0
5,51829969556,"Lifestyle Villas",18396000.0
6,22997392288,"Onera",6132000.0
7,57350626214,"Geejam Hotel - New Deal",6132000.0
8,47432680863,"Casa Collection - New Deal",6080900.0
9,28426769234,"BnB Breeze",6077250.0
10,36609573975,"Wynwood House",5475000.0
11,38950332008,"Hotel Lia",3394500.0
12,35670044964,"Trout Point Lodge",2847000.0
13,32309140286,"VillaStay",2463750.0
14,28900066178,"Mykonos Feelings",2168100.0
15,29147689762,"The Cedars Ranch",1505625.0
16,29386121224,"Walden Retreats",1478250.0
17,42403516055,"Lagom Retreat",1314000.0
18,52224344923,"Le Soleil d'Or - New Deal",1088977.5
19,32412602198,"TIBA LIVING",1047550.0
20,41045976878,"Evia Life Resort",985500.0
21,35676873507,"Casa Cayuco",963600.0
22,38585102190,"Missing Hotel",906660.0
23,32536231331,"Vinyl Vineyards",876000.0
24,42920506372,"The Canyon at Pond Creek",788400.0
25,28371687207,"Back Forty Glamping - New Deal",657000.0
26,34192336171,"Cypress Resort",657000.0
27,42920506161,"Falling Stars at Bull Shoals Lake",657000.0
28,48859281016,"Desa Hay",657000.0
29,48799231632,"Munduk Cabins",613200.0
30,28371687461,"Clark Family Silos",456250.0
31,39434957841,"Menizei",427050.0
32,29918362763,"Train Stays",262800.0
33,34353538574,"Bubble Retreats",262800.0
34,36858494498,"Branch",249112.5
35,22583287683,"Cozy Rock Cabin",229950.0
36,28680178091,"Casa Encanto by Tilah",219000.0
37,28947377839,"White Rail Collection",197100.0
38,29001301838,"KABN",186150.0
39,22362957635,"Haute Haus Alma",104025.0
40,28243347565,"Finest Hour - New Deal",65700.0
